rank,title,duration,genres,directors,cast,synopsis,rating
138,Heat,2h 50min,"Policier,
Drame","De
Michael Mann","Avec
Al Pacino,
Robert De Niro,
Val Kilmer","À travers l'affrontement d'un chef de gang redoutable et d'un lieutenant de police opiniâtre, ce film explore l'univers policier de Los Angeles et entrecroise les destinées de trois couples en crise.",3.2
139,Et pour quelques dollars de plus,2h 10min,Western,"De
Sergio Leone","Avec
Clint Eastwood,
Lee Van Cleef,
Gian Maria Volontè","Le colonel Douglas Mortimer collabore avec un chasseur de primes surnommé L'""Etranger"". Tous les deux souhaitent capturer Indio, un tueur fou, qui sème la terreur autour de lui.",3.7
140,Scarface,2h 45min,"Action,
Drame","De
Brian De Palma","Avec
Al Pacino,
Michelle Pfeiffer,
Steven Bauer","En 1980, Tony Montana bénéficie d'une amnistie du gouvernement cubain pour retourner en Floride. Ambitieux et sans scrupules, il élabore un plan pour éliminer un caïd de la pègre et prendre la place qu'il occupait sur le marché de la drogue.",3.9
141,Avatar,2h 42min,"Aventure,
Science Fiction","De
James Cameron","Avec
Sam Worthington,
Zoe Saldana,
Sigourney Weaver","Sur la lointaine planète de Pandora, Jake Sully, un héros malgré lui, se lance dans une quête de rédemption, de découverte, d'amour inattendu, dont l'issue sera un combat héroïque pour sauver toute une civilisation.",4.3
142,Casino,2h 58min,Drame,"De
Martin Scorsese","Avec
Robert De Niro,
Sharon Stone,

Joe Pesci","En 1973, Sam Ace Rothstein est le grand manitou de la ville de toutes les folies, Las Vegas. Il achète et épouse une virtuose de l’arnaque, Ginger Mc Kenna, qui sombre bien vite dans l’alcool et la drogue. Mais un autre ennui guette Sam, son ami d’enfance Nicky Santoro, qui entreprend de mettre la ville en coupe réglée…",4.4
143,Aladdin,1h 30min,"Animation,
Comédie musicale,
Romance","De
John Musker,
Ron Clements","Avec
Paolo Domingo,
Scott Weinger,
Richard Darbois","Comment Aladdin, grâce à la félonie du grand vizir, va se procurer la lampe magique qui héberge le fameux génie et nous entraîner dans la plus étonnante des aventures.",4.4
144,Voyage à Tokyo,2h 16min,Drame,"De
Yasujirô Ozu","Avec
Chishû Ryû,
Chieko Higashiyama,
Setsuko Hara","Un couple de personnes âgées rend visite à leurs enfants à Tokyo. D'abord reçus avec les égards qui leur sont dus, ils deviennent bientôt dérangeants dans leur vie quotidienne.",4.8
145,Raging Bull,2h 09min,"Biopic,
Drame","De
Martin Scorsese","Avec
Robert De Niro,
Cathy Moriarty,
Joe Pesci",La carrière éblouissante du boxeur Jake La Motta. Une ascension aussi fulgurante que sa chute.,5.0
146,Le Peuple Loup,1h 43min,"Aventure,
Animation,
Famille","De
Tomm Moore,
Ross Stewart","Avec
Lévanah Solomon,
Honor Kneafsey,
Lana Ropion","En Irlande, au temps des superstitions et de la magie, Robyn, une jeune fille de 11 ans, aide son père à chasser la dernière meute de loups. Mais un jour, lors d’une battue en forêt, Robyn rencontre Mebh, petite fille le jour, louve la nuit.",4.2
147,Retour vers le futur II,1h 48min,"Aventure,
Comédie,
Science Fiction","De
Robert Zemeckis","Avec
Michael J. Fox,
Christopher Lloyd,
Lea Thompson","Lors de son premier voyage en 1985, Marty a commis quelques erreurs. L'avenir qu'il s'était tracé n'est pas si rose, et son rejeton est tombé sous la coupe du voyou Griff Tannen, qui veut régner sur la ville. En compagnie de son ami Emmett ""Doc"" Brown et de sa fiancée Jennifer, Marty va devoir entreprendre un voyage vers le futur, pour tenter de donner un peu plus de moralité à son héritier. Un voyage aux conséquences dramatiques...",1.6
148,La Trilogie Marseillaise de Marcel Pagnol : César,2h 12min,Comédie dramatique,"De
Marcel Pagnol","Avec
 Raimu,
Pierre Fresnay,
Fernand Charpin","Fanny, abandonnée par Marius, épouse Panisse qui adopte Césariot, l’enfant de l’amour, et l’élève comme son fils. Aujourd’hui, Césariot est adulte et Panisse se meurt. Fanny révèle la vérité à son fils qui décide alors de partir à la recherche de Marius, son père…",4.3
149,Hamilton,2h 40min,"Biopic,
Historique,
Musical","De
Thomas Kail","Avec
Lin-Manuel Miranda,
Jonathan Groff (II),
Daveed Diggs","Captation de la célèbre comédie musicale de Broadway récompensée par 11 Tony, Grammy et Olivier Awards, et par un prix Pulitzer. Hamilton raconte l'histoire d'Alexander Hamilton, l'un des Pères fondateurs de la nation américaine.",4.3
150,Fanny et Alexandre - Partie 1,2h 51min,Drame,"De
Ingmar Bergman","Avec
Pernilla Allwin,
Bertil Guve,
Kristina Adolphson","Suède, début du XXème siècle. Le film dépeint la vie d'une jeune fille, Fanny, et de son frère Alexandre au sein d'une famille aisée. Les parents travaillent dans le théâtre et sont très heureux ensemble jusqu'à la mort subite du père. Peu après ce drame, la mère trouve un prétendant...",4.3
151,The Father,1h 38min,Drame,"De
Florian Zeller","Avec
Anthony Hopkins,
 Olivia Colman,
Mark Gatiss","THE FATHER raconte la trajectoire intérieure d’un homme de 81 ans, Anthony, dont la réalité se brise peu à peu sous nos yeux. Mais c’est aussi l’histoire d’Anne, sa fille, qui tente de l’accompagner dans un labyrinthe de questions sans réponses.",3.9
152,Le Château dans le ciel,2h 04min,"Aventure,
Animation,
Famille","De
Hayao Miyazaki","Avec
Mayumi Tanaka,
Jim Cummings,
Hiroshi Ito","Qui est vraiment Sheeta, la petite fille porteuse d’une pierre en pendentif aux pouvoirs magiques qui suscite bien des convoitises ? Retenue prisonnière à bord d’un dirigeable, l’enfant affronte une bande de pirates de l’air menée par la très pittoresque Dora, puis une armée de militaires à la solde de Muska, un gentleman machiavélique trop poli pour être honnête. Sauvée par le jeune Pazu, Sheeta se réfugie dans un village de mineurs. Là, elle tentera avec le garçon de percer le secret de ses origines pour prouver que l’histoire de Laputa, l’île merveilleuse flottant dans les airs, n’est pas une légende…",5.0
153,Ratatouille,1h 50min,"Animation,
Comédie,
Famille","De
Brad Bird","Avec
Guillaume Lebon,
Patton Oswalt,
Jean-Pierre Marielle",Les péripéties du rat Rémy dans les coulisses d'un grand restaurant parisien.,4.5
154,Mon voisin Totoro,1h 27min,Animation,"De
Hayao Miyazaki","Avec
Chika Sakamoto,
Noriko Hidaka,
Shigesato Itoi","Deux petites filles, Mei et Satsuki, viennent s'installer avec leur père dans une grande maison à la campagne afin de se rapprocher de l'hôpital où séjourne leur mère. Elles vont découvrir l'existence de leurs nouveaux voisins, invisible aux yeux des autres humains, des créatures merveilleuses, mais très discrètes : Grand Totoro, Moyen Totoro (Chū-Totoro) et Petit Totoro (Chibi-Totoro). Avec son ventre rebondi, Totoro est un être rare et fascinant, un esprit de la forêt... Il se nourrit de glands et de noix. Il peut voler, se déplacer en « Chat-Bus ». Il dort le jour, mais les nuits de pleine lune, il aime jouer avec des ocarinas magiques...",4.4
155,Les Incorruptibles,1h 59min,Policier,"De
Brian De Palma","Avec
Kevin Costner,
Sean Connery,
Charles Martin Smith","A Chicago durant les années trente, lors de la prohibition, Al Capone règne en maître absolu sur le trafic d'alcool. L'agent Eliot Ness et ses hommes partent en guerre contre son gang...",3.3
156,Dallas Buyers Club,1h 57min,"Biopic,
Drame","De
Jean-Marc Vallée","Avec
Matthew McConaughey,
Jennifer Garner,
Jared Leto","L'histoire vraie de Ron Woodroof, un électricien qui a été diagnostiqué séropositif en 1986 et dont l'espérance de vie ne devait pas dépasser 6 mois.",3.9
157,Vice Versa,1h 35min,"Animation,

Comédie,
Famille","De
Pete Docter,
Ronaldo Del Carmen","Avec
Charlotte Le Bon,
Amy Poehler,
Pierre Niney","Au Quartier Général, le centre de contrôle situé dans la tête de la petite Riley, 11 ans, cinq Émotions sont au travail. Lorsque la famille de Riley emménage dans une grande ville, avec tout ce que cela peut avoir d’effrayant, les Émotions ont fort à faire pour guider la jeune fille durant cette difficile transition.",4.7
158,Rush,2h 03min,"Biopic,

Drame","De
Ron Howard","Avec
Chris Hemsworth,
Daniel Brühl,
Olivia Wilde","Situé durant l’âge d’or de la Formule 1, RUSH retrace le passionnant et haletant combat entre deux des plus grands rivaux que l’histoire du sport ait jamais connus, celui de James Hunt et Niki Lauda concourant pour les illustres écuries McLaren et Ferrari.",4.1
159,"Batman: The Dark Knight Returns, Part 2",1h 16min,"Action,
Animation","De
Jay Oliva","Avec
Peter Weller,
Ariel Winter,
David Selby","Batman, s'activant à arrêter les multiples gangs nés de la dissolution du gang des mutants voit ressurgir un vieil ennemi du passé : le Joker.",4.3
160,Assurance sur la mort,1h 47min,"Policier,
Thriller","De
Billy Wilder","Avec
Fred MacMurray,
Barbara Stanwyck,
Edward G. Robinson","Walter Neff, un employé d’une compagnie d’assurances, tombe amoureux de sa cliente Phyllis Dietrichson qui réussit à le convaincre d’échafauder avec elle un plan pour supprimer son mari encombrant et violent et ainsi partager avec elle l’assurance-vie de ce dernier.",4.6
161,E.T. l'extra-terrestre,2h 00min,"Aventure,
Famille,
Science Fiction","De
Steven Spielberg","Avec
Henry Thomas,
Drew Barrymore,
Dee Wallace","E.T., un extraterrestre, débarque en pleine nuit sur Terre et s'aventure vers Los Angeles. Traqué par des militaires, il se réfugie dans un pavillon de banlieue. Elliot, un jeune garçon, le découvre et va tenter de garder sa présence secrète.",4.8
162,Mustang,1h 33min,Drame,"De
Deniz Gamze Ergüven","Avec
Güneş Nezihe Şensoy,
Doğa Zeynep Doğuşlu,
Elit İşcan","C'est le début de l'été. Dans un village reculé de Turquie, Lale et ses quatre sœurs rentrent de l’école en jouant avec des garçons et déclenchent un scandale aux conséquences inattendues.",4.0
163,Taxi Driver,1h 55min,Drame,"De
Martin Scorsese","Avec
Robert De Niro,
Jodie Foster,
Harvey Keitel","Vétéran de la Guerre du Vietnam, Travis Bickle est chauffeur de taxi dans la ville de New York. Ses rencontres dans le monde de la nuit, la violence quotidienne qu'il croise lui font peu à peu perdre la tête.",4.8
164,Dragons,1h 33min,"Aventure,
Animation,
Famille","De
Chris Sanders,
Dean DeBlois","Avec
Donald Reignoux,
Jay Baruchel,
Emmanuel Jacomy","Pour pouvoir devenir un membre à part entière de sa tribu, le jeune fils d'un chef Viking doit capturer et élever un dragon.",3.9
165,Les Figures de l'ombre,2h 07min,"Biopic,
Drame","De
Theodore Melfi","Avec
Taraji P. Henson,
Octavia Spencer,
Janelle Monáe","L'histoire de Katherine Johnson, Dorothy Vaughn et Mary Jackson, les cerveaux derrière le premier voyage spatial habité réussi par les Américains en 1962. Ces trois Afro-Américaines travaillaient pour la NASA et ont permis à l’astronaute John Glenn de réaliser son premier vol en orbite.",3.3
166,Le Sommet des Dieux,1h 35min,"Aventure,
Animation,
Drame","De
Patrick Imbert","Avec
Lazare Herson-Macarel,
Eric Herson-Macarel,
Damien Boisseau","A Katmandou, le reporter japonais Fukamachi croit reconnaître Habu Jôji, cet alpiniste que l'on pensait disparu depuis des années. Il semble tenir entre ses mains un appareil photo qui pourrait changer l’histoire de l’alpinisme.",4.2
167,Le Crime était presque parfait,1h 45min,"Policier,
Thriller","De
Alfred Hitchcock","Avec
Ray Milland,
Grace Kelly,
Robert Cummings","Tony, une ancienne gloire du tennis, s'est marié avec Margot pour sa richesse. Mais celle-ci le trompe avec un jeune auteur de romans policiers. Craignant que sa femme le quitte et le laisse sans le sou, Tony décide de la faire assassiner...",4.4
168,La Grande évasion,2h 49min,"Aventure,
Drame","De
John Sturges","Avec
Steve McQueen,
Charles Bronson,
James Donald","Durant la Seconde Guerre Mondiale, des officiers alliés récidivistes de l'évasion sont prisonniers et surveillés étroitement dans un stalag. Malgré cela, ils préparent une évasion massive...",3.8
169,La Couleur des sentiments,2h 26min,Drame,"De
Tate Taylor","Avec
Emma Stone,
Jessica Chastain,
Viola Davis",Evocation de la vie des domestiques et serviteurs afro-américains chez une riche famille dans le Mississippi d'avant la lutte pour les droits civils.,2.6
170,À bout de course,1h 55min,"Drame,
Musical","De
Sidney Lumet","Avec
Steven Hill,
Lynne Thigpen,
Martha Plimpton","Danny est le fils d'anciens militants contre la guerre du Vietnam. Ses parents Annie et Arthur Pope organiserent un attentat a la bombe contre une fabrique de napalm. Un gardien mourut lors de l'explosion. Depuis, les Pope sont en fuite.",4.8
171,Parasite - Version noir et blanc,2h 12min,Thriller,"De
Bong Joon Ho","Avec
Song Kang-Ho,
Woo-sik Choi,

Park So-Dam","Le film ressort au cinéma le 19 février en noir et blanc, sous le titre ""Parasite, the Black & White Version"".Toute la famille de Ki-taek est au chômage, et s’intéresse fortement au train de vie de la richissime famille Park. Un jour, leur fils réussit à se faire recommander pour donner des cours particuliers d’anglais chez les Park. C’est le début d’un engrenage incontrôlable, dont personne ne sortira véritablement indemne...",4.3
172,Los Olvidados (Pitié pour eux),1h 25min,"Policier,
Drame","De
Luis Buñuel","Avec
Ernesto Alonso,
Jesús García,
Roberto Cobo","Dans une banlieue déshéritée de Mexico, El Jaïbo, échappé d’une maison de correction, retrouve sa bande. Ensemble, ils agressent un aveugle et dévalisent un cul-de-jatte. Mais El Jaïbo veut avant tout se venger de Julian, qu’il accuse de l’avoir dénoncé.",4.3
173,Edmond,1h 53min,"Comédie,
Historique","De
Alexis Michalik","Avec
Thomas Solivérès,
Olivier Gourmet,
Mathilde Seigner","Décembre 1897, Paris. Edmond Rostand n’a pas encore trente ans mais déjà deux enfants et beaucoup d’angoisses. Il n’a rien écrit depuis deux ans. En désespoir de cause, il propose au grand Constant Coquelin une pièce nouvelle, une comédie héroïque, en vers, pour les fêtes.",3.6
174,L'Impasse,2h 23min,"Policier,
Drame,
Thriller","De
Brian De Palma","Avec
Al Pacino,
Sean Penn,
Penelope Ann Miller","En 1975, à New York, Carlito Brigante, un ancien trafiquant de drogue, est libéré de prison. Carlito est décidé à rentrer dans le droit chemin et il compte se retirer aux Bahamas pour s'assurer une retraite paisible. Mais le destin en décidera autrement.",4.8
175,Amadeus,3h 00min,"Comédie dramatique,
Historique","De
Milos Forman","Avec
Tom Hulce,
F. Murray Abraham,
Elizabeth Berridge","Au XVIIIe siècle, à Vienne, Antonio Salieri, le compositeur attitré de l'empereur mélomane Joseph II, tente d'acquérir la gloire éternelle. Pour ce faire, il doit évincer Wolfgang Amadeus Mozart, son rival dont il admire le profond génie.",4.5
176,Les enfants du paradis,3h 09min,"Drame,
Romance","De
Marcel Carné","Avec
 Arletty,
Jean-Louis Barrault,
Pierre Brasseur","Paris, 1828. Sur le boulevard du Crime, au milieu de la foule, des acteurs et des bateleurs, le mime Baptiste Deburau, par son témoignage muet, sauve Garance d'une erreur judiciaire. C'est ici que commencent les amours contrariées de Garance et de Baptiste...",5.0
177,Zootopie,1h 48min,"Animation,
Comédie,
Famille","De
Byron Howard,
Jared Bush,
Rich Moore","Avec
Marie-Eugénie Maréchal,
Ginnifer Goodwin,
Alexis Victor","Zootopie est une ville qui ne ressemble à aucune autre : seuls les animaux y habitent ! Lorsque l'adorable lapine Judy Hopps fait son entrée dans la police, elle s’attaque à une épineuse affaire, l'obligeant à faire équipe avec Nick Wilde, un renard à la langue bien pendue et véritable virtuose de l’arnaque…",4.0
178,Le Mans 66,2h 33min,"Biopic,
Drame","De
James Mangold","Avec
Matt Damon,
Christian Bale,
Caitriona Balfe",L'histoire des deux constructeurs automobiles s'affrontant au Mans en 1966.,3.8
179,Le Fanfaron,1h 45min,Comédie dramatique,"De
Dino Risi","Avec
Vittorio Gassman,
Jean-Louis Trintignant,
Catherine Spaak","Un Méditerranéen très en verve, désinvolte, charmeur et... fanfaron, fait la connaissance d'un étudiant en droit studieux, timide et complexé. Il va lui faire vivre deux jours de randonnées trépidantes de Rome à Viareggio...",4.3
180,Casablanca,1h 42min,"Drame,
Romance","De
Michael Curtiz","Avec
Humphrey Bogart,
Ingrid Bergman,
Paul Henreid","Dans son night-club marocain, le cynique Rick Blaine ferme les yeux sur la misère de la Seconde Guerre mondiale jusqu’à ce que son ancienne amante, Ilsa Lund, entre dans la pièce, forçant Rick à choisir entre vivre avec la femme qu’il aime et devenir le héros dont elle a besoin.",4.4
181,Vous ne l'emporterez pas avec vous,2h 07min,"Comédie,
Romance","De
Frank Capra","Avec
Jean Arthur,
Lionel Barrymore,
James Stewart","Après avoir fait fortune, le vieux Vanderhof est devenu un sage en pensant que l'argent ne fait pas le bonheur. Il vit entouré de ses petits-enfants et de ses domestiques, pour le moins originaux...",5.0
182,Le Chant de la Mer,1h 33min,"Animation,
Famille,
Fantastique","De
Tomm Moore","Avec
Jean-Stan du Pac,
David Rawle,
Patrick Bethune","C’est l’histoire d’une petite fille qui découvre qu’elle est une « silkie », une fée capable de se transformer en phoque. Elle va devoir chanter « le chant de la mer » pour ouvrir au peuple des fées les portes de leur royaume.",3.9
183,Gone Girl,2h 29min,"Policier,

Drame,
Thriller","De
David Fincher","Avec
Ben Affleck,
Rosamund Pike,
Neil Patrick Harris","À l’occasion de son cinquième anniversaire de mariage, Nick Dunne signale la disparition de sa femme, Amy. Sous la pression de la police et l’affolement des médias, l’image du couple modèle commence à s’effriter. Très vite, les mensonges de Nick et son étrange comportement amènent tout le monde à se poser la même question : a-t-il tué sa femme ?",4.0
184,Into the Wild,2h 28min,"Aventure,
Biopic,
Drame","De
Sean Penn","Avec
Emile Hirsch,
Marcia Gay Harden,
William Hurt",Le jeune idéaliste Christopher McCandless abandonne la vie que la plupart d'entre nous connait pour les contrées sauvages de l'Alaska.,3.9
185,7. Koğuştaki Mucize,2h 12min,Drame,"De
Mehmet Ada Öztekin","Avec
Aras Bulut İynemli,
Nisa Sofiya Aksongur,
Deniz Baysal","Séparé de sa fille, un père avec un handicap mental doit prouver son innocence lorsqu’il est arrêté pour le meurtre d’une enfant.",4.3
186,Inglourious Basterds,2h 33min,"Action,
Guerre","De
Quentin Tarantino","Avec
Brad Pitt,
Mélanie Laurent,
Christoph Waltz","Dans la France occupée de 1940, Shosanna assiste à l'exécution de sa famille tombée entre les mains d'un colonel nazi. Au même moment, le lieutenant Raine forme un groupe de soldats juifs américains pour mener des actions punitives contre les nazis.",3.7
187,La Fille du puisatier,2h 50min,Comédie dramatique,"De
Marcel Pagnol","Avec
Josette Day,
 Fernandel,
Fernand Charpin","Fille aînée du puisatier Amoretti, Patricia s'éprend de Jacques Mazel, un jeune aviateur, issu d'une famille de riches commerçants. Lorsque la guerre éclate, Jacques part rejoindre son escadrille, ignorant que Patricia attend un enfant de lui. Blâmée par son père, la jeune fille est également rejetée par les parents de Jacques.",4.3
188,Eve,2h 10min,Drame,"De
Joseph L. Mankiewicz","Avec
Bette Davis,
Anne Baxter,
George Sanders","Eve Harrington reçoit, des mains d'un vieil acteur, le Prix Sarah Siddons. L'entourage de celle-ci se souvient de son ascension.",4.3
189,Room,1h 58min,"Drame,
Thriller","De
Lenny Abrahamson","Avec
Brie Larson,
Jacob Tremblay,
Joan Allen","Jack, 5 ans, vit seul avec sa mère, Ma. Elle lui apprend à jouer, à rire et à comprendre le monde qui l’entoure. Un monde qui commence et s’arrête aux murs de leur chambre, où ils sont retenus prisonniers, le seul endroit que Jack ait jamais connu.",3.6
190,Captain Fantastic,1h 58min,Comédie dramatique,"De
Matt Ross","Avec
Viggo Mortensen,
Frank Langella,
George MacKay","Dans les forêts reculées du nord-ouest des Etats-Unis, vivant isolé de la société, un père dévoué a consacré sa vie toute entière à faire de ses six jeunes enfants d’extraordinaires adultes.Mais quand le destin frappe sa famille, ils doivent abandonner ce paradis qu’il avait créé pour eux.",3.6
191,Imitation Game,1h 55min,"Biopic,
Drame","De
Morten Tyldum","Avec
Benedict Cumberbatch,
Keira Knightley,
Matthew Goode","1940 : Alan Turing, mathématicien, cryptologue, est chargé par le gouvernement Britannique de percer le secret de la célèbre machine de cryptage allemande Enigma, réputée inviolable.",3.4
192,Ernest et Célestine,1h 16min,Animation,"De
Benjamin Renner,
Vincent Patar,
Stéphane Aubier","Avec
Lambert Wilson,
Pauline Brunner,
Anne-Marie Loop","Dans le monde conventionnel des ours, il est mal vu de se lier d’amitié avec une souris. Et pourtant, Ernest, gros ours marginal, clown et musicien, va accueillir chez lui la petite Célestine, une orpheline qui a fui le monde souterrain des rongeurs.",4.3
193,Requiem pour un massacre,2h 23min,"Drame,
Guerre","De
Elem Klimov","Avec
Aleksei Kravchenko,
Olga Mironova,
Luibomiras Laucevitchuis","En 1943, en Biélorussie, un jeune villageois, Fliora, déterre le fusil d’un soldat mort et s’engage chez les partisans contre l’envahisseur allemand. Avec l’énergie et l’idéalisme d’un enfant, il plonge dans l’horreur d’un monde qui dépasse les adultes eux-mêmes.",4.3
194,Une journée particulière,1h 45min,Comédie dramatique,"De
Ettore Scola","Avec
Sophia Loren,
Marcello Mastroianni,
John Vernon","A Rome le 6 mai 1938. Alors que tous les habitants de l'immeuble assistent au défilé du Duce Mussolini et d'Hitler, une mère de famille nombreuse et un homosexuel se rencontrent.",5.0
195,Memories of Murder,2h 10min,"Action,
Policier,
Drame","De
Bong Joon Ho","Avec
Song Kang-Ho,
Kim Sang-kyung,
Hie-bong Byeon","En 1986, dans la province de Gyunggi, le corps d'une jeune femme violée puis assassinée est retrouvé dans la campagne. Deux mois plus tard, d'autres crimes similaires ont lieu. Dans un pays qui n'a jamais connu de telles atrocités, la rumeur d'actes commis par un serial killer grandit de jour en jour.",4.4
196,Jour de colère,1h 32min,Drame,"De
Carl Theodor Dreyer","Avec
Preben Lerdorff Rye,
Throkild Roose,
Lisbeth Movin","Au XVIIe siecle, une jeune femme est condamnee au bucher pour avoir aime le fils de son mari pasteur. Denoncee par sa belle-mere, elle avoue etre une sorciere.",4.3
